"","Species","data.type","A.A","B.B","C.Xo","D.sd","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.Xo","sterror.sd","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"1","Acer campestre","Li et al. 2015",391.513636573248,-1.02056468360535,0.745246780282843,41.6139434974787,-200.74757874328,0.753187279049133,0.999999998237325,409.495157486561,410.671628074796,421.543133769776,0.533546142718287,2.1261649013513,4.71183753871515,39,264.215211702227,0.582080996520533,1.43390110489841,2.64115171380584
"2","Acer pseudoplatanus","Li et al. 2015",318.993507,-0.227209464487898,0.65675311061194,26.9129382043484,-164.904098735074,0.82475130300641,1.0046864208557,337.808197470147,339.141530803481,137.753740144044,0.057512019747216,0.182258880137794,3.28135688580396,35,302.206705414679,0.397460816792341,0.680688688039282,0.986984833441859
"3","Alberta magna","Guyot et al. 2012",102.809683131429,-1.25,2.9537992025996,31.5709015528134,-219.202847571112,0.118797378612507,0.999999999184572,446.405695142223,447.405695142223,32.8818392289061,0.524565305370016,1.44272630660648,3.54546442099934,45,93.9644623488319,1.70307749725385,3.1694195136705,4.82572161442857
"4","Alberta magna","Pan et al. 2017",82.063028372591,-0.180675629737466,1.68130123852788,26.876326966542,-230.799035415505,0.564678862078812,0.999999998974325,469.59807083101,470.507161740101,6.89746931238925,0.0881011830984605,0.0793273299776338,2.71490394977439,49,82.0555686501319,1.43091373983705,1.6813340862081,1.93179137572467
"5","Arabidopsis Col-0","Pan et al. 2017",294.770915728387,-0.133998612912877,0.404269882644379,85.9934047038619,-305.406874844441,0.447205582969818,0.999999996256767,618.813749688882,619.664813518669,67.8383776071917,0.0607201506744346,0.0864378038439261,8.43230159423718,52,281.015414005786,0.247844919731299,0.416785078348891,0.597989275430312
"6","Bauhinia galpinii","Pan et al. 2017",126.525828464503,-0.113439893022167,1.97992337177397,46.7550876305288,-263.193080274408,0.422691344952386,1.00000000462783,534.386160548815,535.275049437704,10.0045530309704,0.0506413442220894,0.0533968237380144,4.67547100402341,50,126.525825136224,1.82266230267155,1.97992337774207,2.13718445952671
"7","Bursera simaruba","Brodribb et al. 2003",486.015541040925,-0.161348053018519,1.28662520183146,100,-343.760163191368,0.554985283235544,0.999999990778759,695.520326382736,696.304640108226,99.8692172755892,0.0484766354609674,0.0821343984086646,8.1524612315893,56,485.848301080783,1.0632267652759,1.28673624290213,1.51037050753276
"8","Calycophyllum candidissimum","Brodribb et al. 2003",373.868456121233,-0.177995260123967,1.50073406520362,47.185946253988,-158.191039403533,0.878825327105435,0.999999999854796,324.382078807067,325.982078807067,32.5998661350993,0.0339940259426907,0.0555762821290607,6.0916223955003,30,373.786994939051,1.25417409096856,1.50081163101215,1.74753637321081
"9","Camellia sasanqua","Pan et al. 2017",221.480417971836,-0.503514109799825,0.468479789621763,50.3636850378759,-106.764178256031,0.484116945453925,0.999999997035464,221.528356512062,224.195023178729,249.905939295485,0.493120011418521,1.26173932916381,7.96314898109197,20,158.837021422755,0.318896008968145,0.761289082884976,1.36829562311866
"10","Carpinus betulus","Li et al. 2015",349.4680845,-1.22337782092796,0.586812362521268,39.5256298018466,-229.314953320396,0.624733147557509,1.00004464741565,466.629906640793,467.629906640793,467.328325407944,0.687195002801687,3.02878408446643,4.16636875407097,45,215.855577275543,0.615513423997408,1.57233364891028,2.98387864303835
"11","Cercocarpus betuloides","Pan et al. 2017",151.515041984469,-0.959558706395787,2.50172952589133,45.8514973925666,-361.859900975315,0.468727404496639,0.999999992867749,731.719801950629,732.344801950629,31.4709069099632,0.395565596106207,0.565387925546611,3.90311634995777,69,141.109200384874,1.47267828372229,2.63373964575565,3.91656921216318
"12","Comarostaphylis diversifolia","Pan et al. 2017",118.972189228107,-0.366005481955849,3.29734725735308,90.4912975653353,-302.133803065932,0.124814122915128,0.999999993701243,612.267606131863,613.137171349254,15.8495783555343,0.363627555487918,0.482944413891594,8.95984538543976,51,118.957640374934,2.79017967065948,3.29743677340012,3.80479454322243
"13","Cordia africana","Gindaba et al. 2004",157.3487031,-0.777158567370333,0.822778803283936,14.5890090902625,-45.0912767531092,0.67476924217632,1.00092258973356,98.1825535062185,104.849220172885,105.059819730047,0.478736032762549,1.09357132513812,3.11908056084926,11,116.822331173058,0.527198417940936,1.23232711029993,2.18009076928187
"14","Corylus avellana","Li et al. 2015",123.133200237095,-0.0395353006760491,1.25844325492868,32.196678319449,-166.287262331977,0.708635003336022,0.999999998487083,340.574524663955,341.953835008782,9.35325106389499,0.0241282743592476,0.0283096816156099,3.90439455202513,34,123.133200237093,1.2036356905363,1.25844325492868,1.31325081932107
"15","Croton macrostachyus","Gindaba et al. 2004",169.45244955,-0.711066101744851,0.748753935848197,14.6782037443839,-45.1583240778769,0.706901463755093,1.00024788269081,98.3166481557538,104.98331482242,121.013553939648,0.419222261456937,1.03841725629214,3.13006980770449,11,125.623730068768,0.480884132772831,1.12513556411413,1.99186328498323
"16","Enterolobium cyclocarpum","Brodribb et al. 2003",350.744011355234,-0.290123975857056,1.79475083124892,62.7027823072445,-172.277674837894,0.705366966880122,0.999999998966339,352.555349675788,354.09381121425,27.7419048897901,0.0960518190852021,0.0690944655217271,7.96315518200832,31,350.023756629333,1.39552333372866,1.79594237523353,2.19769335127843
"17","Eucalyptus camaldulensis","Gindaba et al. 2004",105.880317111399,-0.13143935240796,1.31341926341228,11.6722442681183,-23.2569136513019,0.908465691107124,1.00000000086687,54.5138273026038,94.5138273026038,9.01233735356153,0.0423136551211742,0.0476657194274196,3.36946328025054,6,105.875474611189,1.13123568556869,1.31343128632852,1.49564041093621
"18","Eucalyptus globulus","Gindaba et al. 2004",191.0662824,-0.590109852325252,0.785726478243247,17.8033167657573,-25.7899398446271,0.814982409143495,1.01016876936874,59.5798796892543,99.5798796892543,93.3848389330179,0.229300381832939,0.610064858453518,5.32913383466338,6,151.150109960666,0.464383136948444,1.03597336357942,1.77212536614155
"19","Ficus auriculata","Hao et al. 2010",590.4,-0.501188889280836,0.543899036247423,62.76208949239,-255.681329231382,0.602594470607046,1.00785142713594,519.362658462765,520.338268218862,195.598761190793,0.112644731487773,0.317355298147913,6.66854051958021,46,441.312255480891,0.344890727683564,0.802615257940564,1.41524564536957
"20","Ficus benjamina","Hao et al. 2010",511.35,-0.481361304933032,0.916659604349334,64.0041336438292,-390.452033818545,0.584903376469936,1.00076569877708,788.904067637089,789.519452252474,367.766855657492,0.172075699093508,0.652157759802217,5.41109983004887,70,445.067889448216,0.517248948299839,1.04215547767509,1.66614555177191
"21","Ficus concinna","Hao et al. 2010",146.697287656101,-0.0844851878711326,2.03280373903102,41.5760085730778,-267.616014685256,0.604667030049937,1.00000000058534,543.232029370512,544.083093200299,8.56151672731073,0.0271170436024566,0.0442325768204432,4.07684106422189,52,146.697287650891,1.91568239950211,2.03280373903702,2.14992507857867
"22","Ficus curtipes","Hao et al. 2010",276.106644281857,-0.162588402417506,1.09583030915024,52.943527390426,-269.40821808057,0.715738340186817,1.00000000039549,546.816436161141,547.70532505003,31.9521772742606,0.0589778298436509,0.0575529767908974,5.29430997089752,50,275.780462161648,0.871393607105456,1.09621446111175,1.32146589592488
"23","Ficus esquiroliana","Hao et al. 2010",634.8,-0.341538692599844,0.846006624922265,52.4311178922077,-322.706328818237,0.816807257399397,1.0088337612583,653.412657636474,654.139930363747,138.584941907896,0.054566583070504,0.15249248677379,4.9007865834464,60,585.61367825529,0.49228561607898,0.899039933389887,1.35357738508741
"24","Ficus hispida","Hao et al. 2010",331.338568103472,-0.281556805620649,1.18472092183393,68.2813865486578,-434.478330546358,0.573568164066505,1.00000000529254,876.956661092716,877.512216648271,100.388057567809,0.129230494218139,0.201882518871613,5.50222262181066,77,326.48060337683,0.814605224965909,1.19297767901889,1.58023031177518
"25","Ficus racemosa","Hao et al. 2010",675.312868935595,-0.598522351537808,0.988682629539505,87.4084281513744,-400.488056815625,0.609191522094434,0.999999994366612,808.976113631251,809.611034266171,415.4382733727,0.249984006368314,0.757011338322973,7.49511786956149,68,566.684719992927,0.561254225836102,1.18292149859653,1.94697306983737
"26","Ficus religosa","Hao et al. 2010",265.305032229672,-0.111285086924726,1.53184824578298,53.6362879604231,-324.069862994962,0.763085702049152,1.00000000395662,656.139725989924,656.866998717196,16.5426395567884,0.0451728241134081,0.0402742681394649,4.8962865514546,60,265.304753202646,1.3775749425062,1.53184847986483,1.68612228056468
"27","Ficus semicordata","Hao et al. 2010",841.05,-0.471597949954292,1.05668974523336,88.6138651955991,-277.451662952513,0.661860454595167,1.00503654288656,562.903325905027,563.855706857408,365.706110841844,0.134852148851123,0.40202930890834,9.24047025025622,47,760.176033438631,0.604069880111979,1.14766699085498,1.76934528182524
"28","Ficus tinctoria","Hao et al. 2010",322.941895875467,-0.220776839952655,1.56923570783151,71.8767177668704,-279.000654932873,0.637794637457372,0.99999999717239,566.001309865746,566.910400774837,81.3899987749119,0.155264576278655,0.140881446171067,7.26057594664563,49,322.677719226157,1.26407592618064,1.56959691273913,1.875523218434
"29","Fraxinus excelsior","Li et al. 2015",403.6717065,-0.899910076496535,0.664090337013165,49.7290172481832,-207.695558720527,0.616397149441968,1.00180428955768,423.391117441053,424.567588029289,316.015580576861,0.343952243842399,1.31225345860361,5.64861725583951,39,273.103216078636,0.515309458121806,1.26792616489792,2.33324924554776
"30","Hedera canariensis","Guyot et al. 2012",130.199603980304,-0.102734218100095,1.19688683101953,42.8177623913496,-201.859770701002,0.534226584347076,0.999999992510753,411.719541402004,412.896011990239,9.12524325893883,0.062777439061396,0.0780060274315369,4.84814278837206,39,130.198469139724,1.05447144095419,1.1968886219153,1.33930781757927
"31","Hedera canariensis","Pan et al. 2017",234.846390999809,-0.229628768962508,0.846797794774884,56.4085579367889,-163.546782471907,0.642137727155086,0.999999999005116,335.093564943814,336.693564943814,63.3588828035919,0.129249237630924,0.169685328969379,7.28219829446227,30,229.111732725761,0.555541678426804,0.858014525351936,1.17220526022267
"32","Helianthus annuus","Guyot et al. 2012",301.268008108281,-0.169839775170897,0.448346739499317,100,-199.810672278913,0.319933318798658,0.99999999694285,407.621344557825,409.102826039307,189.306391773678,0.164785325292138,0.263643287227087,9.70207653912893,32,281.19779975139,0.264730609847313,0.471009457131078,0.698309090262075
"33","Helianthus annuus","Pan et al. 2017",254.418946188768,-0.0596522803462539,0.496400960304025,100,-177.445568481537,0.464928379664145,0.999999993748046,362.891136963073,364.55780362974,40.7269581275362,0.0555220843841858,0.0599318164039292,11.5873682406897,29,254.357083402726,0.413777837219543,0.496429969592712,0.579114712634553
"34","Heteromeles arbutifolia","Pan et al. 2017",626.883140042458,-1.25,1.03354672019639,100,-573.37109236567,0.450729353853955,0.999999999179607,1154.74218473134,1155.20195484628,279.707404415196,0.341417437477493,1.15010887707645,5.83027845596376,92,436.113695445513,0.749588682255494,1.81921491332983,3.31164045558576
"35","Hymenaea courbaril","Brodribb et al. 2003",362.467889394513,-0.185219940826651,2.49781227906304,41.2295386274838,-195.247552506141,0.909972634455481,1.00000000211348,398.495105012283,399.707226224404,13.9777655274721,0.0247022825198276,0.0291403873027199,4.72930652516443,38,362.46738528691,2.24104420751233,2.49781279425781,2.75458196059488
"36","Lantana camara","Pan et al. 2017",232.00743799947,-0.139146034187425,1.00984706538226,100,-273.040398107688,0.297470814400905,0.999999993751055,554.080796215376,555.080796215376,50.0060365996531,0.117406852094244,0.0897602546184935,9.91445119894872,45,231.844012374529,0.817439257149535,1.01004309385059,1.20286697810039
"37","Magnolia grandiflora","Pan et al. 2017",118.368172620831,-0.0185869572909434,0.51520775351814,17.6634442703594,-154.455686999163,0.766989184716848,0.999999998883794,316.911373998326,318.201696578971,8.54224652422088,0.00914473247381414,0.0123701374822687,2.08165081597901,36,118.368172620723,0.489440759435414,0.515207753518174,0.540974747600972
"38","Malosma Laurina","Pan et al. 2017",609.69,-0.498783880907689,0.142727392170531,75.7873826479411,-212.634203390841,0.582984029379814,1.00222806390605,433.268406781683,434.518406781683,457.898548450175,0.201709248728768,0.707883271459963,8.83982725497076,37,348.165619341258,0.229046618260319,0.600216852827667,1.16445329656979
"39","Millettia ferruginea","Gindaba et al. 2004",68.0725219720171,-1.25,1.60525346429588,10.7525886330103,-41.7349355993138,0.230710643053019,0.999999998088292,91.4698711986275,98.1365378652942,57.3526300669133,0.908299311694235,2.47533803626406,2.41668404762905,11,53.3119711856889,0.958546912904458,2.15608659558266,3.7096256336836
"40","Platanus racemosa","Pan et al. 2017",281.085,-0.65212415979982,0.0785146254816122,44.1117670806652,-244.666260281779,0.371388457556338,1.00998524062307,497.332520563558,498.284901515939,148.372404264249,0.20852195945486,0.62371480196065,4.58833673882882,47,148.99283209333,0.278173511036162,0.743667104944818,1.46893017920649
"41","Quercus agrifolia","Pan et al. 2017",405.42,-1.25,-0.941242105251873,51.6459263317073,-289.620892867033,0.125999994728626,1.00341733525117,587.241785734066,588.058112264678,542.587110221806,0.719783557502908,2.16681073217631,5.0897763527842,54,129.803054724696,0.391448433350644,1.1307556673755,2.41146683693484
"42","Quercus oleoides","Brodribb et al. 2003",413.167355442543,-0.290577284971142,2.70522274730323,87.7262445695326,-318.230620612419,0.616923378166863,0.99999999731882,644.461241224838,645.277567755451,28.6458828443537,0.0741417467721895,0.0664650484756258,8.44131609401254,54,413.129954509016,2.30252859670659,2.70527535485611,3.10808127976492
"43","Raphiolepis indica","Guyot et al. 2012",159.382113972049,-0.718154366500906,2.18235858331591,32.7007089328811,-201.159746862824,0.633237424233693,0.999999998789487,410.319493725647,411.430604836758,22.1365240499138,0.219169655429943,0.306889912991566,3.61117299036359,41,152.098097708123,1.34095053504903,2.2480459360993,3.219685053593
"44","Rhaphiolepis indica","Pan et al. 2017",196.233605177811,-0.474878356340016,2.30527274280284,49.8569141858251,-250.420498743241,0.660640388721596,0.999999996969307,508.840997486483,509.793378438864,15.0079595762545,0.184586777007422,0.167910614753824,5.14230481933583,47,194.716060872348,1.66510522477551,2.31261769588975,2.96819782185904
"45","Rhedera trinervis","Brodribb et al. 2003",508.382114661619,-0.0805638260975049,1.12853173729633,60.3927786325661,-171.114050582016,0.893099328783958,0.999999999012556,350.228101164032,351.766562702493,36.3420185978779,0.0249673380683566,0.0190128907161948,7.66978835725176,31,508.381695263023,1.0168468917793,1.12853187022137,1.24021699820372
"46","Salvia canariensis","Pan et al. 2017",285.62714288289,-0.121631357370245,1.18810856823868,72.0130762735614,-119.611511411846,0.663834401451255,1.00000000395306,247.223022823692,249.723022823692,34.6708146604363,0.0638489171518322,0.063202948153887,11.1117240395438,21,285.610792119998,1.0195265144063,1.1881224938444,1.35673413678682
"47","Simarouba glauca","Brodribb et al. 2003",685.655375184633,-0.250187874250112,1.30614176130444,100,-385.687706391658,0.697730855340058,0.999999996948629,779.375412783316,780.089698497601,117.19748086222,0.0711345170496061,0.115880124937266,6.57520259608544,61,681.970111479068,0.96597789867675,1.30883120910739,1.65466009040996
"48","Sweitenia macrophylla","Brodribb et al. 2003",258.223164555653,-0.0595481350654816,1.93809187509352,33.3142869695106,-270.87086837976,0.905833137065122,1.00000000139821,549.741736759521,550.541736759521,7.3632847315458,0.0164221696817432,0.0149854128167333,3.17636475107536,55,258.223164555651,1.85554063123704,1.93809187509352,2.02064311895
"49","Vaccinium myrtillus","Ganthaler & Mayr 2015",112.169101152522,-0.579754755668226,1.58698355626621,23.0339256812415,-41.0031602647907,0.679886665242165,0.999999999792878,90.0063205295815,100.006320529581,32.2730201979659,0.41490655596758,0.481697222382658,5.42910332270054,9,105.348562127047,0.945859601339709,1.65757562025511,2.43581090926295
"50","Vaccinium vitis-idaea","Ganthaler & Mayr 2015",349.13793105,-1.25,-0.0871145811689373,53.1328803539787,-48.5256103859312,0.254530096144906,1.00150252793562,105.051220771862,115.051220771862,589.549592849362,0.99613850113053,3.66432042028748,12.8536107034606,9,168.48842546127,0.492727396631358,1.3448964280118,2.70856057623573
"51","Vitis vinifera (M)","Tombesi et al. 2014",295.074200912131,-0.136025496568363,0.922682884460639,56.0820387029426,-190.601394265933,0.785717159078641,1.00000000084877,389.202788531866,390.5361218652,41.8675070545197,0.060887046012741,0.052791035048789,6.70301672457017,35,294.740351916329,0.734879704873037,0.922990684970948,1.11144672024601
"52","Vitis vinifera (S)","Tombesi et al. 2014",196.591371688702,-0.21664942360106,1.00818893350792,31.8662794648106,-151.295094293158,0.816544870351258,1.00000000379826,310.590188586317,312.128650124778,21.4732923622687,0.0557105424384055,0.0807305824622266,4.04699289517267,31,194.735982155159,0.717931635222484,1.0122784416579,1.31109378223546
